shape,n,edges,strategy,run,ns,rounds,checksum
random_dag,1000000,3999996,whole,0,270118833.3,27,0x1bffc26f65c08998
random_dag,1000000,3999996,whole,1,278465541.7,27,0x1bffc26f65c08998
random_dag,1000000,3999996,whole,2,257362750.0,27,0x1bffc26f65c08998
random_dag,1000000,3999996,whole,3,266842083.3,27,0x1bffc26f65c08998
random_dag,1000000,3999996,whole,4,245539708.3,27,0x1bffc26f65c08998
random_dag,1000000,3999996,semi,0,109218916.7,26,0x1bffc26f65c08998
random_dag,1000000,3999996,semi,1,108826083.3,26,0x1bffc26f65c08998
random_dag,1000000,3999996,semi,2,111640916.7,26,0x1bffc26f65c08998
random_dag,1000000,3999996,semi,3,106070666.7,26,0x1bffc26f65c08998
random_dag,1000000,3999996,semi,4,104723500.0,26,0x1bffc26f65c08998
