shape,n,edges,strategy,run,ns,rounds,checksum
layered32,1000000,2906250,whole,0,227794458.3,32,0x7feb26d6a36aa668
layered32,1000000,2906250,whole,1,214779083.3,32,0x7feb26d6a36aa668
layered32,1000000,2906250,whole,2,214433500.0,32,0x7feb26d6a36aa668
layered32,1000000,2906250,whole,3,216904666.7,32,0x7feb26d6a36aa668
layered32,1000000,2906250,whole,4,212390250.0,32,0x7feb26d6a36aa668
layered32,1000000,2906250,semi,0,169297541.7,32,0x7feb26d6a36aa668
layered32,1000000,2906250,semi,1,169163458.3,32,0x7feb26d6a36aa668
layered32,1000000,2906250,semi,2,174071958.3,32,0x7feb26d6a36aa668
layered32,1000000,2906250,semi,3,175632875.0,32,0x7feb26d6a36aa668
layered32,1000000,2906250,semi,4,169751041.7,32,0x7feb26d6a36aa668
