shape,n,edges,strategy,run,ns,rounds,checksum
random_dag,4000000,15999996,whole,0,2404919750.0,31,0x815da9bf57f46171
random_dag,4000000,15999996,whole,1,2346344083.3,31,0x815da9bf57f46171
random_dag,4000000,15999996,whole,2,2294492375.0,31,0x815da9bf57f46171
random_dag,4000000,15999996,whole,3,2350886208.3,31,0x815da9bf57f46171
random_dag,4000000,15999996,whole,4,2228998416.7,31,0x815da9bf57f46171
random_dag,4000000,15999996,semi,0,597416208.3,31,0x815da9bf57f46171
random_dag,4000000,15999996,semi,1,618397833.3,31,0x815da9bf57f46171
random_dag,4000000,15999996,semi,2,622351583.3,31,0x815da9bf57f46171
random_dag,4000000,15999996,semi,3,596920083.3,31,0x815da9bf57f46171
random_dag,4000000,15999996,semi,4,632306000.0,31,0x815da9bf57f46171
