shape,n,edges,strategy,run,ns,rounds,checksum
random_dag,8000000,31999996,whole,0,6093758916.7,32,0xa7201cde071fc31c
random_dag,8000000,31999996,whole,1,5917245250.0,32,0xa7201cde071fc31c
random_dag,8000000,31999996,whole,2,5963838375.0,32,0xa7201cde071fc31c
random_dag,8000000,31999996,whole,3,6057166166.7,32,0xa7201cde071fc31c
random_dag,8000000,31999996,whole,4,5939898625.0,32,0xa7201cde071fc31c
random_dag,8000000,31999996,semi,0,1286853083.3,32,0xa7201cde071fc31c
random_dag,8000000,31999996,semi,1,1472265541.7,32,0xa7201cde071fc31c
random_dag,8000000,31999996,semi,2,1274122208.3,32,0xa7201cde071fc31c
random_dag,8000000,31999996,semi,3,1420327750.0,32,0xa7201cde071fc31c
random_dag,8000000,31999996,semi,4,1260801166.7,32,0xa7201cde071fc31c
